nombre,email,curp,ocupacion_especifica,Puesto,diploma
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ78,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ79,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ80,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ81,Autotransporte,Instructor,0
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ82,Autotransporte,Instructor,0
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ83,Autotransporte,Instructor,0
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ84,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ85,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ86,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ87,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ88,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ89,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ90,Autotransporte,Instructor,1
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ91,Autotransporte,Instructor,2
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ92,Autotransporte,Instructor,3
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ93,Autotransporte,Instructor,4
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ94,Autotransporte,Instructor,5
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ95,Autotransporte,Instructor,6
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ96,Autotransporte,Instructor,7
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ97,Autotransporte,Instructor,8
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ98,Autotransporte,Instructor,9
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ99,Autotransporte,Instructor,10
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ100,Autotransporte,Instructor,11
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ101,Autotransporte,Instructor,12
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ102,Autotransporte,Instructor,13
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ103,Autotransporte,Instructor,14
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ104,Autotransporte,Instructor,15
Marcos Abraham Silverio,marcos@gmail.com,ABCD123456EFGHIJ105,Autotransporte,Instructor,16
